2025-06-08 22:03:08 +0200,04d309f,fix backup cleanup to use cancellation timestamp instead of file modification time,2mawi2
2025-06-08 22:04:33 +0200,333017b,Remove dispatch-multi feature and all related functionality,2mawi2
2025-06-08 22:19:43 +0200,540aa69,fxi linters,2mawi2
2025-06-08 23:11:07 +0200,68b0bb2,simplify backup mechanism,2mawi2
2025-06-08 23:28:50 +0200,826c223,remove wip,2mawi2
2025-06-11 11:00:53 +0200,916310f,Rewrite application in Rust,2mawi2
2025-06-11 11:07:17 +0200,2114529,Remove legacy shell scripts and workflows,2mawi2
2025-06-11 11:13:29 +0200,70cf8e0,Fix release workflow and clean up justfile,2mawi2
2025-06-11 11:18:16 +0200,f889ddb,Fix CI: Replace timeout with cross-platform approach for macOS runners,2mawi2
2025-06-11 11:20:51 +0200,f45a93f,Bump version to 1.1.1 for release,2mawi2
2025-06-11 09:22:29 +0000,cb6b959,Increment version to 1.1.2 after release,GitHub Action
2025-06-11 09:22:29 +0000,f06f3b6,Merge release branch with version increment,GitHub Action
2025-06-11 11:49:31 +0200,4683238,Enhance shell completions for all shells with smart context-aware suggestions,2mawi2
2025-06-11 11:50:41 +0200,fd17283,Bump version to 1.1.3 for enhanced completions release,2mawi2
2025-06-11 11:50:59 +0200,dd6b375,Merge enhanced completions into release - resolve Cargo.lock conflict,2mawi2
2025-06-11 09:52:32 +0000,4270ecd,Increment version to 1.1.3 after release,GitHub Action
2025-06-11 09:52:32 +0000,8ab157d,Merge release branch with version increment,GitHub Action
2025-06-11 13:54:09 +0200,9bca705,Change default branch prefix from 'pc' to 'para',2mawi2
2025-06-11 13:10:00 +0200,b1a0302,Add simplified Docker container implementation task,2mawi2
2025-06-11 13:38:57 +0200,297d31a,Fix worktree integration - implement change extraction approach,2mawi2
2025-06-11 14:47:13 +0200,641e305,Fix session detection from worktrees - add state directory resolution,2mawi2
2025-06-11 15:33:59 +0200,d29a43a,fix resume and integrate,2mawi2
2025-06-11 15:50:53 +0200,4000fb5,Update Cargo.lock for version 1.1.3,2mawi2
2025-06-11 15:56:05 +0200,f24f9e6,Fix clippy lint issues,2mawi2
2025-06-11 15:57:38 +0200,cc960e8,Bump version to 1.1.5 for release,2mawi2
2025-06-11 13:59:07 +0000,aa3807c,Increment version to 1.1.6 after release,GitHub Action
2025-06-11 13:59:07 +0000,1ce8b7f,Merge release branch with version increment,GitHub Action
2025-06-11 16:01:05 +0200,1f822f0,Fix release script - switch to release branch before modifying Cargo.toml,2mawi2
2025-06-11 16:01:22 +0200,1bc83d8,Bump version to 1.1.7 for release,2mawi2
2025-06-11 14:03:02 +0000,edb73d3,Increment version to 1.1.8 after release,GitHub Action
2025-06-11 14:03:03 +0000,93c6818,Merge release branch with version increment,GitHub Action
2025-06-11 16:03:45 +0200,c9e1d8b,Update Cargo.lock for version 1.1.8,2mawi2
2025-06-11 16:04:33 +0200,74a1399,Bump version to 1.1.9 for release,2mawi2
2025-06-11 16:05:42 +0200,8c4fd0c,Fix double version bump - remove auto-increment from GitHub Actions,2mawi2
2025-06-11 14:06:02 +0000,7f23e4f,Increment version to 1.1.10 after release,GitHub Action
2025-06-11 14:06:03 +0000,a3d1e58,Merge release branch with version increment,GitHub Action
2025-06-11 17:24:57 +0200,ca1703c,Bump version to 1.1.11 for release,2mawi2
2025-06-11 15:26:19 +0000,7e7bba3,Merge release branch v1.1.11,GitHub Action
2025-06-11 17:24:25 +0200,ca3ca04,Consolidate directories under .para with gitignore,2mawi2
2025-06-12 00:13:39 +0200,da1c01e,Apply uncommitted changes from worktree session,2mawi2
2025-06-13 08:32:27 +0200,16f23e8,fix integrate commit message,2mawi2
2025-06-13 08:45:17 +0200,b5b0d5b,Bump version to 1.1.12 for release,2mawi2
2025-06-13 06:46:45 +0000,756065d,Merge release branch v1.1.12,GitHub Action
2025-06-13 08:35:54 +0200,4f020ec,Update Cargo.lock,2mawi2
2025-06-12 00:13:39 +0200,22be503,Apply uncommitted changes from worktree session,2mawi2
2025-06-13 09:06:51 +0200,b4c713c,fix friendly names,2mawi2
2025-06-13 09:14:44 +0200,a8a296e,add bugfixes,2mawi2
2025-06-13 09:18:37 +0200,4ca37b1,Fix friendly naming for branch names,2mawi2
2025-06-13 09:33:24 +0200,cb0482f,fix friendly name branch creation,2mawi2
2025-06-13 10:06:11 +0200,3728e36,Add automatic .gitignore management for .para directories,2mawi2
2025-06-13 10:12:02 +0200,b83818b,Fix release process to update Cargo.lock with version bump,2mawi2
2025-06-13 10:13:49 +0200,b016ca3,Bump version to 1.1.13 for release,2mawi2
2025-06-13 08:15:13 +0000,ac80a5f,Merge release branch v1.1.13,GitHub Action
2025-06-13 10:41:11 +0200,0e30550,Fix para finish bugs with proper test cleanup and clear error messages,2mawi2
2025-06-13 10:45:12 +0200,1c277c4,Merge branch 'para/20250613-071835' into main,2mawi2
2025-06-13 11:11:45 +0200,b7d2c2a,Document IDE closing behavior and add tests for para continue,2mawi2
2025-06-13 11:12:48 +0200,19c58f3,Merge remote-tracking branch 'origin/main',2mawi2
2025-06-13 11:14:19 +0200,6b24c70,Fix test that could fail with invalid current directory,2mawi2
2025-06-13 11:14:36 +0200,3a93672,Bump version to 1.1.14 for release,2mawi2
2025-06-13 11:20:30 +0200,db45689,Fix failing tests that needed proper git repository setup,2mawi2
2025-06-13 12:39:54 +0200,0f7cf98,Fix test isolation to prevent IDE termination during releases,2mawi2
2025-06-13 11:20:30 +0200,2807d28,Fix failing tests that needed proper git repository setup,2mawi2
2025-06-13 12:39:54 +0200,651722a,Fix test isolation to prevent IDE termination during releases,2mawi2
2025-06-13 10:41:49 +0000,f5c9720,Merge release branch v1.1.14,GitHub Action
2025-06-13 12:43:17 +0200,6b97552,Bump version to 1.1.15 for release,2mawi2
2025-06-13 12:51:53 +0200,23d2101,Fix cancel test isolation issue,2mawi2
2025-06-13 13:17:56 +0200,2149c13,add further security measurements to prevent ide close,2mawi2
2025-06-13 14:32:50 +0200,2bef0e2,inject config stateless,2mawi2
2025-06-13 12:51:53 +0200,b26889b,Fix cancel test isolation issue,2mawi2
2025-06-13 13:17:56 +0200,ca2dde0,add further security measurements to prevent ide close,2mawi2
2025-06-13 14:32:50 +0200,57506dd,inject config stateless,2mawi2
2025-06-13 12:40:15 +0000,6f955c4,Merge release branch v1.1.15,GitHub Action
2025-06-13 15:49:39 +0200,5706e55,Fix para finish command and add configurable preserve_on_finish,2mawi2
2025-06-13 15:53:02 +0200,38dbc63,Fix flaky test in cancel command,2mawi2
2025-06-13 15:58:02 +0200,d84cb11,Improve test isolation to prevent race conditions,2mawi2
2025-06-13 16:04:11 +0200,751040c,Update CLAUDE.md with test utilities best practices,2mawi2
2025-06-13 15:49:51 +0200,b58f166,Bump version to 1.1.16 for release,2mawi2
2025-06-13 14:14:21 +0000,624de3d,Merge release branch v1.1.16,GitHub Action
2025-06-13 16:47:11 +0200,af2854a,Bump version to 1.1.17 for release,2mawi2
2025-06-13 14:48:46 +0000,9396ff2,Merge release branch v1.1.17,GitHub Action
2025-06-13 16:44:12 +0200,df94c88,fix am state,2mawi2
2025-06-11 13:15:45 +0200,32a2095,Add MCP server implementation,2mawi2
2025-06-12 00:24:37 +0200,e5ee789,Implement MCP integration with para mcp init command,2mawi2
2025-06-13 19:27:52 +0200,fb1b34a,Implement MCP integration with para mcp init command,2mawi2
2025-06-13 19:31:25 +0200,10fc415,Fix Node.js setup in release workflow - remove npm cache dependency,2mawi2
2025-06-13 19:35:32 +0200,f1deded,Bump version to 1.1.19 for release,2mawi2
2025-06-13 19:39:54 +0200,8d88bcc,Fix MCP pipeline by tracking package-lock.json,2mawi2
2025-06-13 19:41:34 +0200,bccad9d,Bump version to 1.1.20 for release,2mawi2
2025-06-13 17:43:28 +0000,eab76bb,Merge release branch v1.1.20,GitHub Action
2025-06-13 19:48:26 +0200,130835c,move tasks,2mawi2
2025-06-13 19:48:09 +0200,83d5272,Add MCP commands to CLI autocomplete,2mawi2
2025-06-13 19:50:24 +0200,5530a92,Bump version to 1.1.21 for release,2mawi2
2025-06-13 17:52:04 +0000,f5ea246,Merge release branch v1.1.21,GitHub Action
2025-06-13 19:55:38 +0200,db13f04,Add MCP commands to CLI autocomplete,2mawi2
2025-06-13 21:12:50 +0200,fb375cc,adjust prompting,2mawi2
2025-06-13 21:13:23 +0200,1dcb848,Bump version to 1.1.22 for release,2mawi2
2025-06-13 19:15:03 +0000,59f3754,Merge release branch v1.1.22,GitHub Action
2025-06-13 21:20:24 +0200,8f0c9ee,Fix brew formula to handle existing para-mcp-server symlink on upgrade,2mawi2
